City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,285.17,41,35,0.89,US,1730059744
1,olonkinbyen,70.9221,-8.7187,267.7,83,100,19.58,SJ,1730059984
2,iqaluit,63.7506,-68.5145,267.0,79,75,5.14,CA,1730059986
3,port-aux-francais,-49.35,70.2167,274.68,61,100,11.59,TF,1730059987
4,mawu,34.4307,104.9176,276.23,76,39,2.05,CN,1730059988
5,adamstown,-25.066,-130.1015,295.39,83,42,5.72,PN,1730059989
6,dudinka,69.4058,86.1778,260.91,95,100,7.92,RU,1730059990
7,thompson,55.7435,-97.8558,271.24,69,100,1.54,CA,1730059991
8,waitangi,-43.9535,-176.5597,286.94,99,100,4.92,NZ,1730059992
9,lebu,-37.6167,-73.65,285.76,74,0,8.53,CL,1730059994
10,sao vicente,-23.9631,-46.3919,293.13,35,100,2.57,BR,1730059995
11,kristiansund,63.1115,7.732,280.51,65,75,9.77,NO,1730059996
12,jamestown,42.097,-79.2353,285.94,43,75,3.09,US,1730059897
13,wailua homesteads,22.0669,-159.378,300.59,78,40,7.2,US,1730059998
14,margaret river,-33.95,115.0667,283.36,92,10,3.95,AU,1730059999
15,taoudenni,22.6783,-3.9836,303.19,20,0,3.48,ML,1730060000
16,atafu village,-8.5421,-172.5159,301.09,72,100,6.75,TK,1730060002
17,badger,64.8,-147.5333,262.24,84,100,0.0,US,1730060003
18,bethel,41.3712,-73.414,287.07,32,0,4.63,US,1730060004
19,mili,6.0815,171.735,301.72,73,88,3.77,MH,1730060007
20,gamba,-2.65,10.0,298.36,91,100,3.77,GA,1730059953
21,duba,27.3513,35.6901,300.35,53,0,3.54,SA,1730060009
22,grytviken,-54.2811,-36.5092,272.09,77,73,0.98,GS,1730060010
23,cestos city,5.46,-9.5828,299.17,86,84,2.91,LR,1730060012
24,myeik,12.4333,98.6,300.42,83,100,4.01,MM,1730059929
25,pitimbu,-7.4706,-34.8086,299.82,76,9,4.96,BR,1730060015
26,bredasdorp,-34.5322,20.0403,288.85,88,100,11.05,ZA,1730060016
27,bilibino,68.0546,166.4372,260.9,94,100,1.86,RU,1730060017
28,bereznik,62.8551,42.7072,273.28,95,7,1.91,RU,1730060018
29,akureyri,65.6835,-18.0878,272.11,80,75,2.57,IS,1730060020
30,edinburgh of the seven seas,-37.0676,-12.3116,289.02,94,100,12.84,SH,1730060021
31,whitehorse,60.7161,-135.0538,268.76,85,100,4.92,CA,1730059939
32,isafjordur,66.0755,-23.124,267.91,78,23,3.87,IS,1730060023
33,senanga,-16.1167,23.2667,296.61,62,24,3.82,ZM,1730060025
34,georgetown,5.4112,100.3354,299.11,88,20,1.54,MY,1730060026
35,port alfred,-33.5906,26.891,291.98,47,29,5.53,ZA,1730060027
36,inhambane,-23.865,35.3833,297.77,89,100,7.03,MZ,1730059964
37,tsiombe,-25.3,45.4833,296.47,89,74,4.97,MG,1730060029
38,blackmans bay,-43.0167,147.3167,280.22,78,7,6.86,AU,1730060030
39,vilyuchinsk,52.9306,158.4028,274.3,77,35,3.51,RU,1730059777
40,daru,-9.0763,143.2092,298.0,95,100,1.19,PG,1730059813
41,selfoss,63.9331,-20.9971,269.84,74,53,3.55,IS,1730060034
42,port lincoln,-34.7333,135.8667,287.94,70,81,5.42,AU,1730059838
43,kavaratti,10.5669,72.642,301.0,71,85,1.84,IN,1730060036
44,alaghsas,17.0187,8.0168,301.9,14,10,5.57,NE,1730060037
45,nadi,-17.8,177.4167,300.15,69,20,2.06,FJ,1730060038
46,avarua,-21.2078,-159.775,297.18,69,75,4.63,CK,1730060039
47,mar del plata,-38.0023,-57.5575,297.33,39,100,6.0,AR,1730059799
48,kobryn,52.2138,24.3564,283.75,69,29,2.5,BY,1730060043
49,puerto ayora,-0.7393,-90.3518,295.12,92,83,2.24,EC,1730060044
50,fale old settlement,-9.3852,-171.2468,301.3,72,100,6.78,TK,1730060045
51,udachny,66.4167,112.4,254.23,100,95,2.04,RU,1730060046
52,noosa heads,-26.3833,153.15,292.15,85,93,3.18,AU,1730060047
53,quelimane,-17.8786,36.8883,299.19,83,0,5.57,MZ,1730059949
54,iskateley,67.6803,53.1512,273.36,93,99,3.96,RU,1730060050
55,puerto rico,-26.796,-55.024,305.2,19,1,1.17,AR,1730060051
56,geraldton,-28.7667,114.6,285.38,87,0,1.54,AU,1730060052
57,abadan,30.3392,48.3043,288.12,38,0,2.06,IR,1730060053
58,ribeira brava,32.65,-17.0667,293.55,93,18,0.85,PT,1730060054
59,houghton,47.1219,-88.569,286.34,53,0,4.12,US,1730060055
60,chonchi,-42.6128,-73.8092,288.77,53,12,0.87,CL,1730060057
61,leksand,60.7339,15.0032,279.26,69,0,4.72,SE,1730060058
62,lazaro cardenas,17.9583,-102.2,304.07,58,0,3.51,MX,1730060059
63,sisimiut,66.9395,-53.6735,265.64,59,100,3.45,GL,1730060060
64,mirnyy,62.5353,113.9611,267.33,97,100,0.48,RU,1730060062
65,dalianwan,39.0286,121.695,281.17,66,0,2.0,CN,1730060063
66,puerto natales,-51.7236,-72.4875,280.4,81,100,11.32,CL,1730060007
67,dire,12.2833,-10.9667,299.4,57,10,1.09,ML,1730060065
68,madalena,41.2162,-8.3345,287.34,90,10,1.8,PT,1730059806
69,kodiak,57.79,-152.4072,278.88,56,0,3.09,US,1730060067
70,kargasok,59.0556,80.8572,275.56,90,100,1.84,RU,1730060068
71,pachino,36.7186,15.0907,293.92,64,96,4.61,IT,1730060069
72,dalnegorsk,44.5604,135.5701,271.91,82,6,3.48,RU,1730060071
73,batroun,34.2553,35.6581,295.25,33,0,2.18,LB,1730060072
74,yeraliyev,43.2,51.65,283.71,58,100,3.65,KZ,1730060073
75,kruisfontein,-34.0033,24.7314,288.33,58,98,11.43,ZA,1730060074
76,olhao,37.0286,-7.8411,290.09,67,20,2.06,PT,1730059846
77,yonggwang-up,40.0183,127.4547,284.46,87,100,1.63,KP,1730060078
78,agua branca,-5.8922,-42.6361,311.02,14,12,2.98,BR,1730060079
79,leava,-14.3,-178.1667,300.02,74,100,7.83,WF,1730060080
80,katsuura,35.1333,140.3,296.28,92,100,9.53,JP,1730060081
81,camarinas,43.1311,-9.1817,287.55,81,18,7.69,ES,1730060082
82,west island,-12.1568,96.8225,299.14,83,40,4.12,CC,1730060083
83,ribeira grande,38.5167,-28.7,293.02,77,40,5.66,PT,1730060084
84,tura,25.5198,90.2201,294.55,86,0,1.22,IN,1730060085
85,uturoa,-16.7333,-151.4333,298.33,73,78,6.86,PF,1730060086
86,sao raimundo nonato,-9.0153,-42.6994,310.25,16,4,3.39,BR,1730060088
87,tolanaro,-25.0319,46.9987,296.19,96,56,3.95,MG,1730059957
88,kalmunai,7.4167,81.8167,300.24,81,58,2.15,LK,1730060090
89,hawaiian paradise park,19.5933,-154.9731,298.88,91,100,2.06,US,1730060091
90,roccella ionica,38.322,16.4009,292.55,73,0,2.38,IT,1730060092
91,lata,40.1629,-8.3327,283.81,73,61,3.9,PT,1730060093
92,ponta delgada,37.7333,-25.6667,292.55,72,75,3.09,PT,1730060094
93,metu,8.3,35.5833,287.92,97,96,1.22,ET,1730060096
94,yellowknife,62.456,-114.3525,272.82,99,100,6.17,CA,1730059852
95,greymouth,-42.4667,171.2,282.87,85,100,3.65,NZ,1730060099
96,cabo san lucas,22.8909,-109.9124,306.32,57,0,5.36,MX,1730059803
97,san antonio de pale,-1.4014,5.6325,298.66,84,100,7.25,GQ,1730060102
98,dryden,49.7833,-92.7503,281.31,53,20,4.63,CA,1730060103
99,inari,68.906,27.0288,279.17,92,100,6.5,FI,1730060104
100,aban,56.67,96.06,275.49,98,100,2.43,RU,1730059933
101,kerema,-7.9631,145.7785,297.7,90,57,3.69,PG,1730060107
102,afaahiti,-17.75,-149.2833,296.29,75,100,6.42,PF,1730060108
103,crane,31.3974,-102.3501,304.87,18,0,3.26,US,1730060109
104,qaqortoq,60.7167,-46.0333,273.33,99,100,3.95,GL,1730060110
105,enewetak,11.3474,162.3373,301.68,78,40,3.53,MH,1730060111
106,vecses,47.4071,19.2865,287.61,85,100,1.84,HU,1730060113
107,porto novo,6.4965,2.6036,300.05,87,17,2.57,BJ,1730060115
108,nemuro,43.3236,145.575,286.32,96,100,4.21,JP,1730060116
109,santa terezinha,-29.9002,-50.0904,292.44,57,0,4.97,BR,1730060117
110,richards bay,-28.783,32.0377,298.57,57,100,4.55,ZA,1730060065
111,invercargill,-46.4,168.35,281.49,96,100,2.68,NZ,1730060119
112,arkhangel'sk,64.5401,40.5433,275.21,100,100,3.0,RU,1730060120
113,canutama,-6.5339,-64.3831,300.6,72,99,2.37,BR,1730060121
114,punta arenas,-53.15,-70.9167,281.21,66,75,18.01,CL,1730059903
115,tiksi,71.6872,128.8694,258.19,96,100,2.17,RU,1730060124
116,lorengau,-2.0226,147.2712,301.33,78,16,5.15,PG,1730060125
117,pico truncado,-46.7949,-67.9573,293.31,21,32,9.52,AR,1730060126
118,klyuchi,52.2667,79.1667,279.86,64,100,1.41,RU,1730060127
119,port elizabeth,-33.918,25.5701,288.88,85,0,2.57,ZA,1730060130
120,kirakira,-10.4544,161.9205,299.31,87,100,3.39,SB,1730060131
121,stanley,54.868,-1.6985,280.16,95,40,3.09,GB,1730060082
122,zambezi,-13.5432,23.1047,295.97,60,50,2.7,ZM,1730060133
123,nagato,34.3833,131.2,289.49,87,100,5.82,JP,1730060088
124,college,64.8569,-147.8028,262.29,78,100,0.45,US,1730060136
125,al hazm,16.1641,44.7769,298.35,34,0,4.22,YE,1730060137
126,lishui,28.4604,119.9103,287.93,97,100,0.96,CN,1730060138
127,ghanzi,-21.5667,21.7833,295.66,6,44,4.83,BW,1730060139
128,edd,13.9297,41.6925,304.83,55,0,7.78,ER,1730060140
129,abha,18.2164,42.5053,289.29,51,0,0.0,SA,1730060141
130,novaya ladoga,60.1025,32.3019,279.25,94,31,4.21,RU,1730060143
131,san julian,21.0167,-102.1667,296.22,34,0,2.99,MX,1730059978
132,inyonga,-6.7167,32.0667,293.29,85,100,1.69,TZ,1730060145
133,santona,43.4439,-3.4576,287.08,88,99,0.18,ES,1730060146
134,polyarnyy,69.1989,33.4478,277.78,85,100,10.92,RU,1730060147
135,bikenibeu village,1.3673,173.1241,302.13,79,75,1.03,KI,1730060148
136,susuman,62.7833,148.1667,253.71,98,100,1.0,RU,1730060149
137,maloye ganyushkino,46.6,49.2667,279.1,62,18,4.72,KZ,1730060151
138,grand falls-windsor,48.9332,-55.6649,277.87,79,22,0.89,CA,1730060152
139,vondrozo,-22.8167,47.2833,293.79,96,99,1.44,MG,1730060153
140,hutang,31.5333,119.4833,287.56,79,100,2.03,CN,1730059910
141,lakatoro,-16.0999,167.4164,299.76,81,100,4.44,VU,1730060156
142,chontalpa,17.7,-93.5167,299.56,85,70,3.75,MX,1730060157
143,anadyr,64.75,177.4833,271.43,86,75,13.0,RU,1730060158
144,semporna,4.4818,118.6112,298.66,88,89,0.99,MY,1730060159
145,bururi,-3.85,29.6333,288.54,90,93,1.17,BI,1730060160
146,rongelap,11.1635,166.8941,301.68,77,85,4.36,MH,1730060163
147,luderitz,-26.6481,15.1594,286.83,67,11,4.89,NA,1730060164
148,hermanus,-34.4187,19.2345,288.6,88,99,8.28,ZA,1730060165
149,mabaruma,8.2,-59.7833,300.52,94,99,0.8,GY,1730060166
150,foundiougne,14.1333,-16.4667,302.56,43,43,2.56,SN,1730060167
151,saldanha,-33.0117,17.9442,289.18,90,100,9.87,ZA,1730060169
152,kutulik,53.3508,102.7839,275.13,84,96,1.54,RU,1730060170
153,caldwell,43.6629,-116.6874,295.78,29,0,1.54,US,1730060171
154,merritt island,28.5392,-80.672,301.48,60,40,5.14,US,1730059959
155,talnakh,69.4865,88.3972,259.31,95,100,5.14,RU,1730060173
156,le moule,16.3332,-61.3473,303.17,74,100,5.71,GP,1730060157
157,east london,-33.0153,27.9116,290.3,72,9,3.47,ZA,1730060144
158,newman,37.3138,-121.0208,296.51,62,100,1.34,US,1730060176
159,lundazi,-12.2929,33.1782,298.34,40,6,3.99,ZM,1730060178
160,ushuaia,-54.8,-68.3,280.96,61,75,7.2,AR,1730060179
161,san andres,12.5847,-81.7006,303.16,84,20,3.09,CO,1730060180
162,hamilton,39.1834,-84.5333,290.89,37,0,1.79,US,1730060181
163,sabang,5.8933,95.3214,301.51,76,100,9.13,ID,1730060182
164,embrun,44.5639,6.4953,281.83,87,100,2.3,FR,1730060183
165,kongoussi,13.3258,-1.5347,303.43,24,6,2.68,BF,1730060185
166,howard springs,-12.497,131.047,300.1,95,45,1.92,AU,1730060187
167,shimoda,34.6667,138.95,294.7,93,100,4.55,JP,1730060188
168,sturgis,41.7992,-85.4192,288.19,49,8,3.05,US,1730060117
169,thunder bay,48.4001,-89.3168,279.14,75,100,7.2,CA,1730060174
170,saipan,15.1355,145.701,301.54,89,100,6.17,MP,1730060192
171,correntina,-13.3433,-44.6367,305.37,31,85,4.06,BR,1730060193
172,papatowai,-46.5619,169.4708,280.82,90,98,3.28,NZ,1730060194
173,casper,42.8666,-106.3131,293.07,19,0,10.8,US,1730060059
174,minas de marcona,-15.2119,-75.1103,293.2,48,7,7.69,PE,1730060196
175,ballina,-28.8667,153.5667,291.64,80,100,6.13,AU,1730060197
176,lihue,21.9789,-159.3672,300.92,73,40,7.2,US,1730060199
177,kisangani,0.5167,25.2,297.39,86,99,0.47,CD,1730059961
178,palapag,12.5458,125.1147,297.91,89,100,3.51,PH,1730060201
179,saint-joseph,-21.3667,55.6167,296.36,89,100,2.18,RE,1730060202
180,wellawaya,6.7318,81.1018,297.11,83,55,0.84,LK,1730060203
181,lagoa,39.05,-27.9833,291.43,67,94,2.61,PT,1730060206
182,hithadhoo,-0.6,73.0833,300.73,78,81,4.35,MV,1730060207
183,inirida,3.8653,-67.9239,305.18,57,87,0.73,CO,1730060208
184,kingston,17.997,-76.7936,304.68,70,40,3.6,JM,1730060121
185,sitka,57.0531,-135.33,281.09,71,35,0.0,US,1730060211
186,weno,7.4515,151.8468,302.04,72,58,4.85,FM,1730060213
187,cabugao,17.7931,120.4578,298.11,83,98,1.06,PH,1730060214
188,callao,-12.0667,-77.15,293.31,68,0,4.63,PE,1730060215
189,happy valley-goose bay,53.3168,-60.3315,275.32,93,100,5.14,CA,1730060110
190,kolonia,50.9333,6.95,288.12,89,100,1.03,DE,1730060217
191,pamanukan,-6.2842,107.8106,300.49,76,45,1.46,ID,1730060218
192,brisas de zicatela,15.8369,-97.0419,304.44,84,20,1.54,MX,1730060221
193,touros,-5.1989,-35.4608,299.55,74,43,5.51,BR,1730060222
194,napier,-39.4833,176.9167,287.75,48,0,2.24,NZ,1730060223
195,tazovsky,67.4667,78.7,268.35,96,100,4.11,RU,1730060224
196,vorgashor,67.5833,63.95,267.2,97,78,2.15,RU,1730060225
197,remire-montjoly,4.9167,-52.2667,304.17,62,0,6.17,GF,1730060226
198,mata-utu,-13.2816,-176.1745,300.3,80,92,8.01,WF,1730060228
199,perth,-31.9333,115.8333,289.86,68,0,6.17,AU,1730060100
200,utrik,11.2278,169.8474,301.74,75,95,4.51,MH,1730060230
201,codrington,-38.2667,141.9667,282.87,77,12,4.13,AU,1730060231
202,kapa'a,22.0752,-159.319,301.33,76,40,7.2,US,1730060232
203,northam,51.0333,-4.2167,284.05,88,100,5.27,GB,1730060234
204,urengoy,65.9667,78.3667,270.28,97,100,4.47,RU,1730060235
205,guichen,47.9676,-1.7953,286.88,93,100,1.54,FR,1730060236
206,alotau,-10.3069,150.4462,297.74,94,100,1.94,PG,1730060237
207,vorkuta,67.5,64.0,267.14,97,73,1.97,RU,1730060238
208,nar'yan-mar,67.6713,53.087,273.35,93,99,3.97,RU,1730060239
209,fortuna,40.5982,-124.1573,289.22,91,75,3.09,US,1730060240
210,pemangkat,1.1667,108.9667,299.78,83,1,4.63,ID,1730060242
211,acarau,-2.8856,-40.12,300.5,70,4,8.11,BR,1730060243
212,cole harbour,44.6724,-63.4751,281.44,39,6,7.2,CA,1730060244
213,medyn',54.9692,35.8586,277.34,92,47,1.23,RU,1730060076
214,pervomayskoye,43.919,46.7102,280.57,58,100,1.86,RU,1730060246
215,nizhneudinsk,54.9076,99.0276,276.41,96,100,1.12,RU,1730060247
216,tralee,52.2704,-9.7026,286.92,97,100,3.94,IE,1730060249
217,longyearbyen,78.2186,15.6401,273.06,100,75,2.57,SJ,1730060250
218,karnal,29.6833,76.9833,295.61,63,0,2.73,IN,1730060251
219,hirara,24.8,125.2833,299.3,89,75,7.2,JP,1730060252
220,severo-yeniseyskiy,60.3725,93.0408,266.12,99,94,1.21,RU,1730060254
221,kismayo,-0.3582,42.5454,299.25,78,100,5.39,SO,1730060255
222,korla,41.7597,86.1469,285.31,35,92,2.77,CN,1730060256
223,mae hong son,19.3003,97.9685,295.45,98,14,0.52,TH,1730060257
224,saint-marc,19.1082,-72.6938,302.08,74,99,3.56,HT,1730060090
225,mezica,46.5214,14.8544,285.81,93,2,1.47,SI,1730060260
226,puerto san jose,13.9256,-90.8244,303.12,66,67,3.96,GT,1730060261
227,poretskoye,55.1974,46.3291,277.63,88,88,1.02,RU,1730060262
228,saudarkrokur,65.7461,-19.6394,265.59,83,12,4.26,IS,1730060263
229,watari,38.035,140.8511,290.4,80,100,1.27,JP,1730060264
230,igarka,67.4667,86.5833,260.41,96,100,4.56,RU,1730060265
231,dongning,44.0622,131.1207,273.04,86,6,2.18,CN,1730060267
232,poronaysk,49.2167,143.1167,272.78,67,100,3.96,RU,1730060268
233,port mathurin,-19.6833,63.4167,296.86,80,2,5.83,MU,1730060269
234,riosucio,5.4216,-75.7032,297.28,70,100,1.79,CO,1730060270
235,new richmond,45.123,-92.5366,290.97,33,0,6.69,US,1730060271
236,tofol,5.3248,163.0078,302.02,68,59,1.54,FM,1730060272
237,sirte,31.2089,16.5887,294.64,67,2,6.31,LY,1730060273
238,namibe,-15.1961,12.1522,292.41,84,66,1.78,AO,1730060275
239,tindouf,27.6711,-8.1474,292.8,42,0,9.03,DZ,1730060276
240,saint croix,17.7397,-64.7388,303.4,75,0,5.66,VI,1730060277
241,grajau,-5.8194,-46.1386,310.41,21,2,2.46,BR,1730060278
242,karsiyang,26.8825,88.2773,290.21,90,6,1.39,IN,1730060282
243,blackwater,-23.5833,148.8833,293.54,100,92,2.7,AU,1730060283
244,altay,47.8667,88.1167,277.19,60,99,2.9,CN,1730060284
245,catio,11.2833,-15.25,299.8,85,89,2.95,GW,1730060285
246,konya,38.1667,32.5,279.86,51,0,0.43,TR,1730060286
247,bandar abbas,27.1865,56.2808,302.14,74,0,2.06,IR,1730060287
248,malibu,34.005,-118.8101,302.58,35,100,2.63,US,1730059705
249,pangai,-19.8,-174.35,299.21,73,75,2.57,TO,1730060290
250,ilulissat,69.2167,-51.1,263.16,44,0,5.14,GL,1730060291
251,kimbe,-5.5502,150.1429,297.1,90,4,1.88,PG,1730060292
252,aasiaat,68.7098,-52.8699,261.51,70,7,6.82,GL,1730060293
253,st. john's,47.5649,-52.7093,280.91,74,40,11.83,CA,1730060294
254,cidreira,-30.1811,-50.2056,292.51,54,0,4.49,BR,1730060295
255,sao joao da barra,-21.6403,-41.0511,296.2,75,100,8.35,BR,1730060297
256,al bawiti,28.3492,28.8659,293.08,61,0,6.97,EG,1730060298
257,vriddhachalam,11.5,79.3333,299.29,67,14,1.12,IN,1730060233
258,ust-nera,64.5667,143.2,252.94,99,95,2.04,RU,1730060300
259,san patricio,28.017,-97.5169,304.12,40,0,5.91,US,1730060301
260,egilsstadir,65.2653,-14.3948,270.1,86,75,1.54,IS,1730060302
261,mount pearl,47.5166,-52.7813,280.45,79,40,11.83,CA,1730060303
262,pustoshka,56.3355,29.369,281.72,80,100,2.35,RU,1730060305
263,kirensk,57.7853,108.1119,271.96,98,99,1.56,RU,1730060306
264,walterboro,32.9052,-80.6668,294.23,82,100,3.09,US,1730060307
265,yuzhno-kurilsk,44.0306,145.8556,286.42,98,100,1.25,RU,1730060308
266,tomatlan,19.9333,-105.25,306.62,41,0,2.4,MX,1730060309
267,constantia,44.1833,28.65,282.53,84,8,5.58,RO,1730060045
268,lompoc,34.6391,-120.4579,294.22,68,0,5.36,US,1730060311
269,boda,4.3189,17.4695,295.58,96,100,1.56,CF,1730060313
270,al kut,32.5147,45.819,293.91,17,0,6.09,IQ,1730060314
271,pokrovsk,48.282,37.1758,280.39,71,86,3.49,UA,1730060315
272,buala,-8.145,159.5921,300.13,85,97,3.99,SB,1730060316
273,queenstown,-31.8976,26.8753,284.2,47,2,11.54,ZA,1730060317
274,macia,-25.0269,33.0989,296.17,85,100,1.64,MZ,1730060318
275,zakamensk,50.3741,103.2863,274.16,79,100,0.81,RU,1730060320
276,vilyuysk,63.7553,121.6247,257.63,92,99,2.27,RU,1730060321
277,san pedro pochutla,15.7333,-96.4667,305.77,60,40,2.16,MX,1730060322
278,ajaccio,42.0,8.9167,288.54,94,0,3.09,FR,1730060323
279,nizhniy odes,63.6445,54.856,272.48,94,55,1.94,RU,1730060324
280,tadmur,34.5608,38.2805,288.05,25,0,1.53,SY,1730060325
281,luang prabang,19.8856,102.1347,294.3,78,100,1.04,LA,1730060326
282,floro,61.5996,5.0328,281.13,71,75,7.2,NO,1730060328
283,languyan,5.2618,120.0807,298.57,86,60,0.16,PH,1730060329
284,singapur,1.2897,103.8501,302.12,82,75,2.06,SG,1730060118
285,campo gallo,-26.5833,-62.85,305.93,19,3,3.37,AR,1730060331
